,tweets
0,RT _PakPassion Great era currently for top quality high-class and entertaining wicket-keeper/batsmen in Test cricket: Jonny Bairstow…
1,RT Arjuna did it to Dulip Liyanage Malinga doing it to Thisara Perera 20 years of SL CRICKET 😂
2,RT WHAT A KNOCK THAT WAS! Thisara Perera smashes a fiery 74-ball 140 but Sri Lanka fall 21 runs short of the target New Zealand sea…
3,RT WHAT A KNOCK THAT WAS! Thisara Perera smashes a fiery 74-ball 140 but Sri Lanka fall 21 runs short of the target New Zealand sea…
4,The bigger question is why is a chapter on the History of Cricket required when far more important stuff is missi https://t.co/RZTUzP7DQ1
5,RT Fastest ODI centuries by Sri Lankans (by balls faced #Cricket 48 Sanath 55 Sanath 57 Thisara 64 Sanath 70 -…
6,RT WHAT A KNOCK THAT WAS! Thisara Perera smashes a fiery 74-ball 140 but Sri Lanka fall 21 runs short of the target New Zealand sea…
7,RT ‘Up the creek’ Grim numbers behind the Shaun Marsh conundrum https://t.co/SOsv83MyCE https://t.co/Ybq8FzUs6O
8,Happens to all the Warehouse Cricket greats doesn’t it https://t.co/LberBXjEBv
9,what a knock thisara Proud of you ❤ #Srilanka #cricket
10,RT _World NZ Vs SL 2nd ODI Live Match In Progress https://t.co/5ntYY4GrWO #cricket #NZ #SL #NZvSL #SLvNZ NZ 319/7 (50 ov) SL 25…
11,RT WHAT A KNOCK THAT WAS! Thisara Perera smashes a fiery 74-ball 140 but Sri Lanka fall 21 runs short of the target New Zealand sea…
12,I have been watching international cricket for 20year since 7 The best revenge ever take in 20 year https://t.co/obMtiTkxwK
13,"#SAvPAK 2nd test, Day 3 1st Session South Africa lead by 220 runs PAK 177 RSA 397/7 (120.0 Ovs) Rabada 1(6 https://t.co/7FULCi2GKD"
14,RT Ricky Ponting says only three batsmen from Australia's current top six are locks for this winter's Ashes series in the UK…
15,Here's Rs.100 to play Fantasy Cricket on Dream11 Click https://t.co/kQe5fQdn1G to download the app &amp use my code IMRAN11667RS to register.
16,RT WHAT A KNOCK THAT WAS! Thisara Perera smashes a fiery 74-ball 140 but Sri Lanka fall 21 runs short of the target New Zealand sea…
17,Most excitement I've had the last couple of years watching a cricket match Thanks ❤️ #NZvSL
18,What a game #NZvsSL #cricket #Pereira https://t.co/vSUTB7t6Fr
