,tweets
0,RT In which we also bring you other politicians foul-mouthed moments https://t.co/iOq7W9y0sA
1,RT Opinion Trump wants a witch hunt Are Democrats about to give it to him https://t.co/3RtmkByLKB
2,RT But what cynicism &amp ambition it takes for Mike Pence Kevin McCarthy Kirstjen Nielsen Mick Mulvaney Mitch McConnell…
3,RT If you are going to mock for dancing while in College maybe you should also point out that Donald Trump was lying to t…
4,RT It's the middle of the night and #ImpeachTheMF is still trending because we need to impeach the motherfucker https://t.…
5,RT Why is MSM suddenly surprised about Trump repeating Kremlin talking points on Afghanistan? Trump has been pushing Russian/…
6,RT I love Jair Bolsonaro the new President of Brazil He has identified Marxism has a key threat to the future of Brazil H…
7,RT She’s wrong for calling Trump a motherf***er He’s a “lying motherf***er. https://t.co/EnPPw1qXJj
8,What needs to be emphasized are Warren's real and effective accomplishments (many being dismantled by T https://t.co/J7mOBEVaXg
9,RT Trump informs the Mockingbird media he will build the wall whether he gets congressional approval or not. https://t.co/8f…
10,"RT President Trump on Rep Rashida Tlaib ""I think she dishonored herself and I think she dishonored her family.. I thought that…"
11,RT Trump lies as easily as he breathes and just as reflexively https://t.co/GCsMrTMJ0w
12,"RT BREAKING Mike Pence and top Trump appointees to get $10,000 raises as hundreds of thousands of federal workers go witho…"
13,How the Government Shutdown is Hurting the U.S Cannabis Industry Cannabis Business Times #HempStocks #Hemp https://t.co/mDj6jXKy1N
14,RT Excuse me The president's war powers are reserved for genuine national emergencies and can't be invoked simply because he do…
15,RT Here's How The Trump Admin's Latest Plan To Rollback Civil Rights May Impact You .. https://t.co/cLuW26PTkx #RolandMar…
16,RT Trump’s first Cabinet meeting of the new year was a hot mess https://t.co/r2UmkRQY1c
17,"RT “We can do it, said referencing the possibility of declaring the #BorderWall a national emergency “I…"
18,RT Why is MSM suddenly surprised about Trump repeating Kremlin talking points on Afghanistan? Trump has been pushing Russian/…
19,RT GOP politicians have been giving lip service to stronger border security for years but Trump was the only one to make…
20,Trump team was unprepared for consequences of shutdown senior officials say #TrumpShutown #TrumpResign https://t.co/MslfGM6tEi
21,RT Trump is totally out of control We've had immigrants for 240 years and the biggest threat to the US is Trump Immigrati…
22,"RT Trump has mocked a disabled reporter called Mexicans rapists called NFL players SOBs tear gassed women and children,…"
23,RT Pelosi met her match… Trump Checkmates Pelosi May Declare National Emergency To Secure Wall Money https://t.co/b6d2xo…
24,RT A spokesman for former President Clinton tells me that Clinton has never said any such thing to Trump and that the two have…
25,"RT BREAKING “Trump is caving, GOP lobbyist tells me It’s very likely Trump is going to have McConnell hold a vote so he can si…"
26,RT Some black people out here wondering why Trump supporters will believe everything he says and overlook his misogyny/raci…
27,RT I have a serious question when Trump is tried will he be tried as an adult?
28,RT Nancy Pelosi says Trump’s wall is immoral. Now tell that to the family of: Ronil Singh Kate Steinle Mollie Tibbetts Dom…
29,RT Watching this Trump presser really drives home the polling about how Fox viewers are less informed than people who watc…
30,"RT House Homeland Security Committee chairman asks Nielsen to testify on Trump admin's ""flawed border security agenda https://t.…"
31,"RT Whoa WSJ editorial board rips into Trump saying his comments on Afghanistan were a ""slander against every ally that has…"
32,RT Trump should declare a national emergency for border security Millions of tons of opioids is a national emergency Tens…
33,RT I Love our President.. he Roared right thru Soros The Clinton Machine Rinos The Swamp and yes the communist MSM. He…
34,"RT Donald Trump is in the Rose Garden saying he ""works very hard and is now calling it a ""steel wall"" I GIVE UP https:/…"
35,"RT BREAKING Trump has now told Senator Chuck Schumer that he would keep the government shut down for as long as he needs to ""…"
36,RT Border Patrol Agent Destroys Wall Arguments in Trump Surprise Press Briefing …
37,RT In his first two years Trump’s predecessor passed a trillion dollar stimulus rescued the global economy and the auto industr…
38,RT _Trump_Train RT if you agree President Trump should bypass the obstructionist Democrats by declaring our southern border problem a…
39,RT If a Dem prez did a tenth of Trump's crimes/crazy pronouncements etc wld Repub.s hesitate for a minute to impeach him Wld…
40,"RT ""(Possible 2020 Trump campaign bumper sticker I voted for a wall and all I got was free checkups for illegals. ""…"
41,RT President Trump has Often criticized Obama for having a 10 foot wall around his house. Is this true? I went to Obama’s…
42,RT This is truly amazing The Justice Department admits that under Trump it effectively made up and misstated information to…
43,"RT Trump floats the idea of using ""the military version of eminent domain to immediately seize privately owned land along bo…"
44,RT So yeah Trump was just completely making stuff up in the Rose Garden today when he was making the case for his border w…
45,RT _Jordan …
46,RT In case you need something to take your mind off trump and his tiny 🍄 25 years ago today Loreena Bobbitt cut off her husban…
47,RT _shel Trump said he’ll keep the government shutdown for months or even years if necessary until he gets his wall lmao...all you fuc…
48,"RT If you are upset that Rashida Tlaib said ""Impeach the motherf**ker ... .. but not upset that Trump bragged about grab…"
49,What Have the Elites Ever Done for Fox https://t.co/D3vso0d5O1
50,RT Why is MSM suddenly surprised about Trump repeating Kremlin talking points on Afghanistan? Trump has been pushing Russian/…
51,Donald Trump threatens to call national emergency to force wall approval https://t.co/eAHTBJ1ycf
52,2019 recession because of Trump government shutdown? $btc #bitcoin #tron $trx
53,Adam Schiff slam dunks Donald Trump’s lackey Mitch McConnell https://t.co/evRIUvKyZD via
54,RT BREAKING The Citizens for Responsibility and Ethics has just asked the DOJ to investigate Ivanka Trump for possibly vio…
55,RT This list of insults from the President’s Twitter account highlights just how much Congress ignored for two years It’s not…
56,RT When Mr Trump is mean to someone vs when someone is mean to Mr Trump https://t.co/1mq4CqwskG
57,"Mitt Romney is the Second Coming Of Jeff Flake POS💩 To all those who cosigned onto Romney's flaky ""azz Op-ed ab https://t.co/52MAu3PNbs"
58,RT Tucker Carlson wants to know What have the elites ever done for America I channel Monty Python for an answer https:…
59,RT Congress &amp Senate dig in your heels Don't cave in to Big Baby Trump tantrums! America voted 40 democratic congressme…
60,Like Trump None other on the world stage right now There could be a few in UP and Bihar.
61,RT Fmr CIA Director John Brennan I'm hoping Republicans realize President Trump is unfit for office https://t.co/Nowoq3a9…
62,RT Can you believe the amount of coverage the Fake News Media/Dems spent on 2 Guatemalan kids dying at the border (due to t…
63,RT While Everyone's Been Distracted Trump Reduced Muslim Refugees 93 https://t.co/PXQNLtwdG5
64,RT Dancing at Donald Trump’s motherf*cking impeachment hearings like... https://t.co/HHEBJ19iCG
65,RT NEW Today Bob Mueller’s grand jury was extended for 6 months There would be no need for this if Trump is innocent If…
